MapCode,Year,FileType,MapUnit,MuniColumn,Geometry,Desc
A29,2019,geojson,muni,A29_003,POLYGON,用途地域
A29,2011,shp,muni,A29_003,POLYGON,用途地域
A50,2020,geojson,muni,A50_004,POLYGON,立地適正化計画区域
A31,2012,shp,pref,,POLYGON,洪水浸水想定区域
P14,2021,geojson,pref,P14_003,POINT,福祉施設
A48,2021,geojson,pref,A48_003,POLYGON,災害危険区域
A48,2020,geojson,pref,A48_003,POLYGON,災害危険区域
N03,2023,shp,pref,,POLYGON,行政区域
A09,2011,shp,muni,,POLYGON,都市地域
W05,,shp,pref,,LINESTRING,河川
L03-a,2016,shp,muni,,POLYGON,土地利用3次メッシュ
L03-b,2006,shp,muni,,POLYGON,土地利用細分メッシュ
L02,2022,shp,muni,Depends,POINT,都道府県地価調査
